,names,code,change_price
749,캐리소프트,317530,-1055
750,한국미라클피플사,331660,-630
751,케이엔제이,272110,11500
752,엔바이오니아,317870,-1250
753,팜스빌,318010,95
754,두산퓨얼셀,336260,7200
755,라온피플,300120,-249
756,솔루스첨단소재,336370,2580
757,콘텐트리중앙,36420,-4050
758,아톤,158430,-60
759,녹십자웰빙,234690,3870
760,누보,332290,191
761,포커스에이아이,331380,-390
762,엔지브이아이,93510,-56
763,올리패스,244460,0
764,라닉스,317120,-349
765,한울반도체,320000,-572
766,한독크린텍,256150,-300
767,아퓨어스,149300,2
768,네오크레마,311390,-1600
769,마니커에프앤지,195500,-165
770,솔트웨어,328380,-4
771,나노실리칸첨단소재,286750,-566
772,에스피시스템스,317830,-3210
773,레이,228670,450
774,그린플러스,186230,-1300
775,코윈테크,282880,-1400
776,덕산테코피아,317330,920
777,KBG,318000,-160
778,엑스페릭스,317770,495
779,세경하이테크,148150,-590
780,캐리,313760,-821
781,대모,317850,1670
782,에이스토리,241840,-3200
783,플리토,300080,-5720
784,헥토파이낸셜,234340,10160
785,아이스크림에듀,289010,-219
786,펨토바이오메드,327610,-2315
787,펌텍코리아,251970,-10800
788,에이에프더블류,312610,-271
789,태성,323280,12200
790,압타바이오,293780,-2370
791,형지글로벌,308100,-703
792,마이크로디지탈,305090,-5120
793,코퍼스코리아,322780,-340
794,프로이천,321260,1030
795,포스코퓨처엠,3670,40600
796,수젠텍,253840,-1825
797,컴퍼니케이,307930,1990
798,피에스케이,319660,42700
799,현대무벡스,319400,6550
800,TS트릴리온,317240,7
801,이노벡스,279060,-92
802,아모그린텍,125210,2840
803,현대오토에버,307950,60000
804,지노믹트리,228760,-12640
805,이지케어텍,99750,-370
806,미래에셋벤처투자,100790,14360
807,드림텍,192650,-670
808,더블유게임즈,192080,-5950
809,에코프로비엠,247540,59800
810,셀리드,299660,-525
811,우리금융지주,316140,6100
812,천보,278280,5650
813,SCL사이언스,246960,-95
814,노랑풍선,104620,-1130
815,웹케시,53580,-1560
816,엘에이티,311060,270
817,에어부산,298690,435
818,비피도,238200,-215
819,유틸렉스,263050,-117
820,디케이티,290550,12260
821,아이엘,307180,1955
822,애니플러스,310200,-745
823,디와이씨,310870,508
824,위지윅스튜디오,299900,-206
825,조이웍스앤코,309930,-1051
826,국전약품,307750,250
827,에이비엘바이오,298380,-37800
828,머큐리,100590,6215
829,전진바이오팜,110020,-120
830,뉴트리,270870,-565
831,비투엔,307870,155
832,이노메트리,302430,-170
833,DH오토리드,290120,260
834,에코캡,128540,-21
835,원바이오젠,307280,150
836,윙입푸드,900340,-203
837,남화산업,111710,-435
838,엠아이텍,179290,-320
839,티로보틱스,117730,-2130
840,네오펙트,290660,354
841,에이펙스인텍,207490,220
842,티앤알바이오팹,246710,-525
843,아시아나IDT,267850,-900
844,디알젬,263690,-20
845,싸이토젠,217330,-5075
846,아주IB투자,27360,5160
847,디케이앤디,263020,235
848,프로브잇,227100,0
849,노바렉스,194700,-230
850,대보마그네틱,290670,-1030
851,노바텍,285490,-900
852,엘앤씨바이오,290650,7300
853,지아이에스,306620,765
854,로보티즈,108490,-24000
855,옵티팜,153710,100
856,에스퓨얼셀,288620,-1350
857,세아제강,306200,39300
858,나우IB,293580,249
859,푸드나무,290720,1634
860,하나제약,293480,-1530
861,크리스에프앤씨,110790,-125
862,더블유에스아이,299170,-520
863,한국비티비,219750,44
864,우진아이엔에스,10400,-365
865,엔피,291230,215
866,피엔티엠에스,257370,400
867,엔솔바이오사이언스,140610,480
868,디지캡,197140,-515
869,지니틱스,303030,31
870,액트로,290740,-1040
871,오파스넷,173130,1330
872,브이엠,89970,15500
873,바이오솔루션,86820,2870
874,더콘텐츠온,302920,-200
875,신한알파리츠,293940,330
876,디아이티,110990,4560
877,에스에스알,275630,1390
878,한일시멘트,300720,60
879,휴네시온,290270,-150
880,티웨이항공,91810,-469
881,롯데이노베이트,286940,1220
882,한국유니온제약,80720,0
883,그리티,204020,-55
884,알로이스,297570,560
885,올릭스,226950,25000
886,HS효성첨단소재,298050,34400
887,테크트랜스,258050,208
888,효성중공업,298040,1095000
889,효성티앤씨,298020,250000
890,효성화학,298000,0
891,아이큐어,175250,0
892,SV인베스트먼트,289080,1956
893,엘리비젼,276240,58
894,지앤이헬스케어,299480,-100
895,이리츠코크렙,88260,270
896,EDGC,245620,0
897,IPARK현대산업개발,294870,1850
898,카이노스메드,284620,0
899,파워넷,37030,3830
900,현대사료,16790,0
901,세종메디칼,258830,0
